Cluster ID,Size,Keywords,Dominant Sign,IDS,Representative Example,Full Text
12,3,"knows, mindful, remain, tomorrow, hinder",taurus (33.3%),"3019, 4759, 19759",There may be more on your list than you feel you can ever accomplish! Don't be discouraged because y...,"There may be more on your list than you feel you can ever accomplish! Don't be discouraged because you can't do everything, or because you can't become the best at something tomorrow. Becoming overwhelmed will hinder your progress. The goal is to slowly open up to the voice inside of you that intuitively knows what is right at a given time in life. Health practices come and go. The point is to remain mindful so that you can sense when your needs change. There may be more on your list than you feel you can ever accomplish! Don't be discouraged because you can't do everything, or because you can't become the best at something tomorrow. Becoming overwhelmed will hinder your progress. The goal is to slowly open up to the voice inside of you that intuitively knows what is right at a given time in life. Health practices come and go. The point is to remain mindful so that you can sense when your needs change. There may be more on your list than you feel you can ever accomplish! Don't be discouraged because you can't do everything, or because you can't become the best at something tomorrow. Becoming overwhelmed will hinder your progress. The goal is to slowly open up to the voice inside of you that intuitively knows what is right at a given time in life. Health practices come and go. The point is to remain mindful so that you can sense when your needs change."
13,3,"challenge, mental, assess, neglect, stake",taurus (66.7%),"3055, 3204, 8424",The energy emanating from the planets today presents a mental challenge. Emotions and power are grow...,"The energy emanating from the planets today presents a mental challenge. Emotions and power are growling at one another; maybe they're even engaged in a real fight! The mental challenge is in stepping back and assess the situation. How much is at stake? Will it eventually blow over? Is it about winning and losing? Most of all, the challenge will be to continue to respect your personal health regimen in the face of this distraction. It is neither fair nor prudent to neglect your body and all the energy contained therein. The energy emanating from the planets today presents a mental challenge. Emotions and power are growling at one another; maybe they're even engaged in a real fight! The mental challenge is in stepping back and assess the situation. How much is at stake? Will it eventually blow over? Is it about winning and losing? Most of all, the challenge will be to continue to respect your personal health regimen in the face of this distraction. It is neither fair nor prudent to neglect your body and all the energy contained therein. The energy emanating from the planets today presents a mental challenge. Emotions and power are growling at one another; maybe they're even engaged in a real fight! The mental challenge is in stepping back and assess the situation. How much is at stake? Will it eventually blow over? Is it about winning and losing? Most of all, the challenge will be to continue to respect your personal health regimen in the face of this distraction. It is neither fair nor prudent to neglect your body and all the energy contained therein."
14,3,"share, sense, loneliness, supportive, imbalances",taurus (33.3%),"3112, 4852, 6592","Today's planetary configuration could make you feel a sense of loneliness, as you realize that there...","Today's planetary configuration could make you feel a sense of loneliness, as you realize that there are imbalances in the world that you alone cannot change. You may experience a sense of isolation when considering certain health issues. Try to share your thoughts and ideas with supportive friends and family. This planetary energy is telling you to share what is in your heart and mind with those you trust. Today's planetary configuration could make you feel a sense of loneliness, as you realize that there are imbalances in the world that you alone cannot change. You may experience a sense of isolation when considering certain health issues. Try to share your thoughts and ideas with supportive friends and family. This planetary energy is telling you to share what is in your heart and mind with those you trust. Today's planetary configuration could make you feel a sense of loneliness, as you realize that there are imbalances in the world that you alone cannot change. You may experience a sense of isolation when considering certain health issues. Try to share your thoughts and ideas with supportive friends and family. This planetary energy is telling you to share what is in your heart and mind with those you trust."
15,3,"self, change, planet, willing, knew",taurus (33.3%),"3261, 5001, 6741",Get ready to change what you have wanted to change for a long time whether you knew it or not - the ...,"Get ready to change what you have wanted to change for a long time whether you knew it or not - the time is now! Today's planetary alignment gives your patron planet a chance for innovative self-expression, which is why you may be surprised by what you find yourself willing to take on these next couple of days. To stay open to whatever your higher self embarks upon. Take hot baths with lavender essential oil at the end of your day. Get ready to change what you have wanted to change for a long time whether you knew it or not - the time is now! Today's planetary alignment gives your patron planet a chance for innovative self-expression, which is why you may be surprised by what you find yourself willing to take on these next couple of days. To stay open to whatever your higher self embarks upon. Take hot baths with lavender essential oil at the end of your day. Get ready to change what you have wanted to change for a long time whether you knew it or not - the time is now! Today's planetary alignment gives your patron planet a chance for innovative self-expression, which is why you may be surprised by what you find yourself willing to take on these next couple of days. To stay open to whatever your higher self embarks upon. Take hot baths with lavender essential oil at the end of your day."
16,3,"aiming, shell, lifelong, satisfied, serve",taurus (33.3%),"3289, 8509, 10249",Today offers a good opportunity to rein in your desire to look for satisfaction elsewhere. Try aimin...,"Today offers a good opportunity to rein in your desire to look for satisfaction elsewhere. Try aiming to be satisfied with your own body. This could take work in many areas of your life, not just diet and exercise. But acceptance of your own body is a lifelong issue, and you will serve yourself well if you can open up to what you truly feel about it. The day's planetary aspect will help you see the truth beneath the protective shell of denial. Today offers a good opportunity to rein in your desire to look for satisfaction elsewhere. Try aiming to be satisfied with your own body. This could take work in many areas of your life, not just diet and exercise. But acceptance of your own body is a lifelong issue, and you will serve yourself well if you can open up to what you truly feel about it. The day's planetary aspect will help you see the truth beneath the protective shell of denial. Today offers a good opportunity to rein in your desire to look for satisfaction elsewhere. Try aiming to be satisfied with your own body. This could take work in many areas of your life, not just diet and exercise. But acceptance of your own body is a lifelong issue, and you will serve yourself well if you can open up to what you truly feel about it. The day's planetary aspect will help you see the truth beneath the protective shell of denial."
17,3,"question, feel, universe, key, judged",gemini (33.3%),"4849, 6589, 21589","The current planetary influence encourages you to question your personal habits - at the same time, ...","The current planetary influence encourages you to question your personal habits - at the same time, you feel mistrustful of the exercise, as though there would be criticism from the universe for anything less than perfect. It is important to notice if this is going on, because it is the key to breaking down a system of denial. When we feel judged, we deny the behavior in question. When we feel a sense of acceptance, we can embrace change. The current planetary influence encourages you to question your personal habits - at the same time, you feel mistrustful of the exercise, as though there would be criticism from the universe for anything less than perfect. It is important to notice if this is going on, because it is the key to breaking down a system of denial. When we feel judged, we deny the behavior in question. When we feel a sense of acceptance, we can embrace change. The current planetary influence encourages you to question your personal habits - at the same time, you feel mistrustful of the exercise, as though there would be criticism from the universe for anything less than perfect. It is important to notice if this is going on, because it is the key to breaking down a system of denial. When we feel judged, we deny the behavior in question. When we feel a sense of acceptance, we can embrace change."
18,3,"loved, satisfying, regard, vein, emotion",gemini (33.3%),"4942, 6682, 8422",The sensitive side of your nature desires what's best for those you love - there is a deep feeling o...,"The sensitive side of your nature desires what's best for those you love - there is a deep feeling of ""I would die for you"" running through you with regard to your loved ones and your children. This intense emotion can be channeled into a more productive vein: caring for your body as though it were a loved one. Taking care of all its needs can be quite satisfying. This is ultimately nurturing for EVERYONE! Your life certainly does depend on your body. The sensitive side of your nature desires what's best for those you love - there is a deep feeling of ""I would die for you"" running through you with regard to your loved ones and your children. This intense emotion can be channeled into a more productive vein: caring for your body as though it were a loved one. Taking care of all its needs can be quite satisfying. This is ultimately nurturing for EVERYONE! Your life certainly does depend on your body. The sensitive side of your nature desires what's best for those you love - there is a deep feeling of ""I would die for you"" running through you with regard to your loved ones and your children. This intense emotion can be channeled into a more productive vein: caring for your body as though it were a loved one. Taking care of all its needs can be quite satisfying. This is ultimately nurturing for EVERYONE! Your life certainly does depend on your body."
19,3,"grains, increased, intestinal, tract, legumes",gemini (33.3%),"5091, 6831, 8571",You can benefit from the aspect of the day through increased awareness about how diet affects your b...,"You can benefit from the aspect of the day through increased awareness about how diet affects your body. You have a special relationship with the intestinal tract, and whatever you can do to assist operations there, the better off you will be. Try eating whole grains rather than bleached or processed grains; leafy green vegetables rather than starch for side dishes; less meat and more legumes for protein sources. Today's planetary energy gives you the inclination to try new things so go for it! You can benefit from the aspect of the day through increased awareness about how diet affects your body. You have a special relationship with the intestinal tract, and whatever you can do to assist operations there, the better off you will be. Try eating whole grains rather than bleached or processed grains; leafy green vegetables rather than starch for side dishes; less meat and more legumes for protein sources. Today's planetary energy gives you the inclination to try new things so go for it! You can benefit from the aspect of the day through increased awareness about how diet affects your body. You have a special relationship with the intestinal tract, and whatever you can do to assist operations there, the better off you will be. Try eating whole grains rather than bleached or processed grains; leafy green vegetables rather than starch for side dishes; less meat and more legumes for protein sources. Today's planetary energy gives you the inclination to try new things so go for it!"
20,3,"body, ways, neglected, muse, earthly",gemini (33.3%),"5119, 10339, 12079",Today's energy encourages you to muse on what you enjoy and what makes you happy. Write down some of...,"Today's energy encourages you to muse on what you enjoy and what makes you happy. Write down some of your favorite foods, things you like to do, and consider the many ways in which you depend on your body, and your body comes through for you. This is an excellent time to contemplate what we must not take for granted. Your body is your most valuable earthly asset. Are there ways in which you've neglected it? How do you go about honoring it? Today's energy encourages you to muse on what you enjoy and what makes you happy. Write down some of your favorite foods, things you like to do, and consider the many ways in which you depend on your body, and your body comes through for you. This is an excellent time to contemplate what we must not take for granted. Your body is your most valuable earthly asset. Are there ways in which you've neglected it? How do you go about honoring it? Today's energy encourages you to muse on what you enjoy and what makes you happy. Write down some of your favorite foods, things you like to do, and consider the many ways in which you depend on your body, and your body comes through for you. This is an excellent time to contemplate what we must not take for granted. Your body is your most valuable earthly asset. Are there ways in which you've neglected it? How do you go about honoring it?"
21,3,"loving, new, diet, responsible, experimentation",cancer (33.3%),"6772, 8512, 10252",Experimentation is a fun activity for most of us. Sometimes it's even necessary to curb the tendency...,"Experimentation is a fun activity for most of us. Sometimes it's even necessary to curb the tendency to try too many new things! For instance, if you are going to try a new food, be sure you also prepare (or order) something you know you will like that is also nutritious. Taking care of your own diet is like managing the diet of a child: you must be responsible and loving. Experiment with finding more ways that you can be loving to yourself. Experimentation is a fun activity for most of us. Sometimes it's even necessary to curb the tendency to try too many new things! For instance, if you are going to try a new food, be sure you also prepare (or order) something you know you will like that is also nutritious. Taking care of your own diet is like managing the diet of a child: you must be responsible and loving. Experiment with finding more ways that you can be loving to yourself. Experimentation is a fun activity for most of us. Sometimes it's even necessary to curb the tendency to try too many new things! For instance, if you are going to try a new food, be sure you also prepare (or order) something you know you will like that is also nutritious. Taking care of your own diet is like managing the diet of a child: you must be responsible and loving. Experiment with finding more ways that you can be loving to yourself."
22,3,"activities, friends, new, marathon, attract",cancer (33.3%),"6921, 8661, 10401",Today's transit could motivate you to try new things in the exercise department. You will feel drawn...,"Today's transit could motivate you to try new things in the exercise department. You will feel drawn to those activities that you can do with friends - or those activities you can do in order to make new friends, if possible. Look into the things you've had in the back of your mind - bike trips or even running a future marathon for a good cause like supporting medical research. These activities generally attract ""good"" people who, like yourself, value health and friendship! Today's transit could motivate you to try new things in the exercise department. You will feel drawn to those activities that you can do with friends - or those activities you can do in order to make new friends, if possible. Look into the things you've had in the back of your mind - bike trips or even running a future marathon for a good cause like supporting medical research. These activities generally attract ""good"" people who, like yourself, value health and friendship! Today's transit could motivate you to try new things in the exercise department. You will feel drawn to those activities that you can do with friends - or those activities you can do in order to make new friends, if possible. Look into the things you've had in the back of your mind - bike trips or even running a future marathon for a good cause like supporting medical research. These activities generally attract ""good"" people who, like yourself, value health and friendship!"
23,3,"organic, way, according, accustomed, shocking",cancer (33.3%),"6949, 12169, 13909",Slowly growing accustomed to new health practices can be a pleasant and enlightening experience. Loo...,Slowly growing accustomed to new health practices can be a pleasant and enlightening experience. Looking to see the truth about what you eat is a way to introduce change into your diet without shocking your system on any level. Organic foods are grown according to specific regulations - there are even different interpretations of what is truly organic. Finding out for yourself where your food comes from is a great way to develop a healthy awareness of your environment. Slowly growing accustomed to new health practices can be a pleasant and enlightening experience. Looking to see the truth about what you eat is a way to introduce change into your diet without shocking your system on any level. Organic foods are grown according to specific regulations - there are even different interpretations of what is truly organic. Finding out for yourself where your food comes from is a great way to develop a healthy awareness of your environment. Slowly growing accustomed to new health practices can be a pleasant and enlightening experience. Looking to see the truth about what you eat is a way to introduce change into your diet without shocking your system on any level. Organic foods are grown according to specific regulations - there are even different interpretations of what is truly organic. Finding out for yourself where your food comes from is a great way to develop a healthy awareness of your environment.
24,3,"yoga, tones, schedule, tantric, individual",leo (33.3%),"8602, 10342, 12082",There is a good deal of harmony in the air today. Give yourself the opportunity to tune into it thro...,"There is a good deal of harmony in the air today. Give yourself the opportunity to tune into it through yoga or perhaps some individual tantric practice that you may enjoy already. It's a wonderful asset to have a schedule that includes yoga, because it both calms the mind and tones the body. You need to go regularly in order to receive maximum benefit. You will experience a feeling of heightened well-being. There is a good deal of harmony in the air today. Give yourself the opportunity to tune into it through yoga or perhaps some individual tantric practice that you may enjoy already. It's a wonderful asset to have a schedule that includes yoga, because it both calms the mind and tones the body. You need to go regularly in order to receive maximum benefit. You will experience a feeling of heightened well-being. There is a good deal of harmony in the air today. Give yourself the opportunity to tune into it through yoga or perhaps some individual tantric practice that you may enjoy already. It's a wonderful asset to have a schedule that includes yoga, because it both calms the mind and tones the body. You need to go regularly in order to receive maximum benefit. You will experience a feeling of heightened well-being."
25,3,"lofty, pursuits, everyday, living, torn",leo (33.3%),"8751, 10491, 12231","Today's aspect is one of the most beneficial transits, emotionally speaking. Often you feel torn bet...","Today's aspect is one of the most beneficial transits, emotionally speaking. Often you feel torn between lofty pursuits and everyday living. Lofty pursuits are easier, in a way; difficulties arise with everyday living, where other people's sensitivities clash with your own. The energy of the day helps you to verbalize and communicate in new ways that help your personal relationships. To increase the positive impact of this transit, take care to eat citrus fruits rich in Vitamin C. Today's aspect is one of the most beneficial transits, emotionally speaking. Often you feel torn between lofty pursuits and everyday living. Lofty pursuits are easier, in a way; difficulties arise with everyday living, where other people's sensitivities clash with your own. The energy of the day helps you to verbalize and communicate in new ways that help your personal relationships. To increase the positive impact of this transit, take care to eat citrus fruits rich in Vitamin C. Today's aspect is one of the most beneficial transits, emotionally speaking. Often you feel torn between lofty pursuits and everyday living. Lofty pursuits are easier, in a way; difficulties arise with everyday living, where other people's sensitivities clash with your own. The energy of the day helps you to verbalize and communicate in new ways that help your personal relationships. To increase the positive impact of this transit, take care to eat citrus fruits rich in Vitamin C."
26,3,"overwhelmed, exercise, feeling, remind, second",leo (33.3%),"8779, 13999, 15739","You may have the feeling that things are out of control. If you open up to all that you are feeling,...","You may have the feeling that things are out of control. If you open up to all that you are feeling, you may become afraid or overwhelmed. It may help you to do some grounding exercise in order to remind yourself that you are in a human body! The regularity with which you exercise will affect the degree you feel overwhelmed in your life. Drinking plenty of water is the second half of the exercise equation. Be aware that your body may need more minerals and vitamins, depending on the stress level you experience. You may have the feeling that things are out of control. If you open up to all that you are feeling, you may become afraid or overwhelmed. It may help you to do some grounding exercise in order to remind yourself that you are in a human body! The regularity with which you exercise will affect the degree you feel overwhelmed in your life. Drinking plenty of water is the second half of the exercise equation. Be aware that your body may need more minerals and vitamins, depending on the stress level you experience. You may have the feeling that things are out of control. If you open up to all that you are feeling, you may become afraid or overwhelmed. It may help you to do some grounding exercise in order to remind yourself that you are in a human body! The regularity with which you exercise will affect the degree you feel overwhelmed in your life. Drinking plenty of water is the second half of the exercise equation. Be aware that your body may need more minerals and vitamins, depending on the stress level you experience."
27,3,"energy, relieved, stored, flow, empowered",virgo (33.3%),"10432, 12172, 13912","There is plenty of favorable energy afoot today, which can leave you empowered and able to tune into...","There is plenty of favorable energy afoot today, which can leave you empowered and able to tune into the divine in your daily life. To encourage the positive flow of this energy, take special care to relax your mind and nourish your body with fresh food and exercise. Any stress you feel in your eyes is best relieved through yoga, which will open the chakras and release energy that has been stored up in the body. There is plenty of favorable energy afoot today, which can leave you empowered and able to tune into the divine in your daily life. To encourage the positive flow of this energy, take special care to relax your mind and nourish your body with fresh food and exercise. Any stress you feel in your eyes is best relieved through yoga, which will open the chakras and release energy that has been stored up in the body. There is plenty of favorable energy afoot today, which can leave you empowered and able to tune into the divine in your daily life. To encourage the positive flow of this energy, take special care to relax your mind and nourish your body with fresh food and exercise. Any stress you feel in your eyes is best relieved through yoga, which will open the chakras and release energy that has been stored up in the body."
